restaurant_id, cuisine_type
138, New Mexica
139,Breakfast &amp; Brunch
139, Donut
140,Vegan
140, Wings
140, Fast Food
140, Desserts
140, Breakfast and Brunc
141,Pizza
141, American
141, Italia
142,Mediterranean
142, Greek
142, Comfort Foo
143,Wings
143, American
143, Fast Foo
144,Pizza
144, American
144, Italia
145,American
145, Sandwiches
145, Pizz
146,Mexican
146, Latin American
146, New Mexica
147,Mexican
147, Tacos
147, Latin America
148,Mediterranean
148, American
148, Chicke
149,Pizza
149, American
149, Italia
150,Chinese
150, Asian
150, Noodle
151,Mexican
151, Latin American
151, Spanis
152,exic
153,American
153, Fast Food
153, Sandwic
154,Soul Food
154, American
154, Burger
155,Mexican
155, Latin American
155, Comfort Foo
156,Seafood
156, American
156, Souther
157,Sushi
157, Burritos
157, Taco
158,Salads
158, American
158, Sandwic
159,American
159, Breakfast and Brunch
159, Burgers
159, Chicken
159, Fast Food
159, Sandwic
160,American
160, Seafoo
161,Pizza
161, American
161, Italian
161, Sandwich
161, Salad
162,Burgers
162, American
162, Sandwiche
163,Sandwiches
163, American
163, Health
164,American
164, Bar Food
164, Wings
164, Fast Food
164, Chicken
164, Family Meals
164, Exclusive to Eats
164, Comfort Foo
165,American
165, Breakfast &amp; Brunch
165, Salad
166,Breakfast and Brunch
166, salad
166, Sandwich
166, Pizza
166, Healthy
166, American
166, Chicke
167,Salads
167, American
167, Vegetarian
167, Health
168,American
168, Chicken Strips
168, Wings
168, Chicke
169,American
169, Sandwich
169, Burger
170,American
170, Sandwiches
170, Salad
171,American
171, Breakfast and Brunch
171, Coffee and Tea
171, Dinner
171, Desserts
171, Salads
171, Steak
171, Sandwich
171, Family Meal
172,Comfort Food
172, American
172, Burger
173,Mediterranean
173, Greek
173, Comfort Foo
174,Mexican
174, Latin American
174, New Mexica
175,Burgers
175, American
175, Sandwiche
176,Mediterranean
176, Wings
176, Comfort Foo
177,Sandwiches
177, American
177, Comfort Foo
178,American
178, Bar Food
178, burger
178, Sandwiches
178, Burger
179,Wings
179, American
179, Fast Foo
180,American
180, Sandwic
181,Comfort Food
181, American
181, Wing
182,Wings
182, American
182, Fast Foo
183,Wings
183, American
183, Fast Foo
184,American
184, Burgers
184, Sandwiche
185,Coffee and Tea
185, American
185, Breakfast and Brunc
186,Black-owned
186, American
186, Family Meal
187,American
187, Burgers
187, Fast Foo
188,Comfort Food
188, American
188, Wing
189,American
189, Wings
189, Sandwic
190,Mediterranean
190, American
190, Gree
191,Wings
191, American
191, Fast Foo
192,American
192, Sandwich
192, Salads
192, Health
193,Salads
193, American
193, Seafood
193, Sandwich
193, Wing
194,Soul Food
194, American
194, Burger
195,Ice Cream + Frozen Yogurt
195, Burgers
195, Chicken
195, America
196,Burgers
196, American
196, Sandwiche
197,BBQ
197, American
197, Burger
198,American
198, Fast Food
198, wing
199,Black-owned
199, BBQ
199, American
199, Burgers
199, Family Meal
200,American
200, Dessert
201,American
201, Family Meal
202,Burgers
202, American
202, Sandwich
202, Salads
202, Health
203,American
203, Wings
203, Salads
203, Healthy
203, Family Meal
204,Seafood
204, Fast Food
204, Fish and Chips
204, American
204, Family Meal
205,Comfort Food
205, American
205, Burger
206,American
206, burger
206, Fast Food
206, Family Meal
207,Burgers
207, American
207, Sandwiches
207, Family Meal
208,American
208, Burgers
208, Fast Food
