id, name, fullAddress, priceRange, zipCode
68,Los Arcos Mexican Restaurant,"7001 Crestwood Blvd, Birmingham, AL, 35210",$,35210
69,New China Town,"1020 20th St S, Birmingham, AL, 35205",$,35205
70,Fuji Hibachi Express ,"790 Montgomery Hwy, Vestavia Hills, AL, 35216",$,35216
71,Sitar,"1801 4th Ave S, 115, Birmingham, AL, 35233",$,35233
72,Red Sea Ethiopian and Mediterranean,"22 Green Springs Highway, Birmingham, AL, 35209",,35209
73,Rice Bowl,"2808 7th Avenue South, Birmingham, AL, 35233",$,35233
74,Karams Restaurant,"715 18th St N, Birmingham, AL, 35203-2207",,35203-2207
75,The Purple Onion Deli &amp; Grill (Green Springs Hwy),"479 Green Springs Hwy, Birmingham, AL, 35209",,35209
76,Rock N Roll Sushi (UAB/Downtown),"420 Richard Arrington Junior Boulevard South, Birmingham, AL, 35233",,35233
77,New China (2142 Tyler Rd),"2142 Tyler Rd, Birmingham, AL, 35226",,35226
78,The Baisakhi Dhaba,"1801 4th Avenue South, Ste 115, Birmingham, AL, 35233",,35233
79,The Vegan Bowl,"1801 4th Avenue South, Ste 115, Birmingham, AL, 35233",,35233
80,Vegans Vessel,"1801 4th Avenue South, Ste 115, Birmingham, AL, 35233",,35233
81,Cafe Gunpowder,"1801 4th Avenue South, Ste 115, Birmingham, AL, 35233",,35233
82,Shrimp Basket (Gardendale),"550 Fieldstown Rd, Gardendale, AL, 35071",$,35071
83,River Fish Market,"1928 Vanderbilt Rd, Birmingham, AL, 35234",,35234
84,Fried Green Tomato's,"1615 Montgomery Hwy, 132, Birmingham, AL, 35216",$,35216
85,The Grill at Iron City,"2208 6th Avenue South, Birmingham, AL, 35233",$,35233
86,SOCU Southern Kitchen + Oyster Bar Birmingham,"1821 2nd Avenue North, Birmingham, AL, 35203",,35203
87,Cajun Bistro Downtown,"1905 Park Place, Birmingham, AL, 35203",,35203
88,Bobby Carl's Table ,"2031 Cahaba Rd, Mountain Brook, AL, 35223",$$,35223
