id, name, fullAddress, priceRange, zipCode
6998,Sheetz - 1617 W King St (155),"1617 W King St, Martinsburg, WV, 25401",$,25401
6999,Pizza Hut (1309 Edwin Miller Blvd.),"1309 Edwin Miller Blvd., Martinsburg, WV, 25404",$,25404
7000,Applebee's (Martinsburg),"755 Foxcroft Ave., Martinsburg, WV, 25401",$$,25401
7001,Popeyes (23 Elwood St),"23 Elwood St, Martinsburg, WV, 25404",$,25404
7002,CVS (1200 EDWIN MILLER BOULEVARD),"1200 EDWIN MILLER BOULEVARD, MARTINSBURG, WV, 25428",$,25428
7003,7-Eleven (1015 N Queen St),"1015 N Queen St, Martinsburg, WV, 25404",$,25404
7004,Walgreens (101 Forbes Dr),"101 Forbes Dr, Martinsburg, WV, 25404",$,25404
7005,7-Eleven (1754 WILLIAMSPORT PIKE),"1754 WILLIAMSPORT PIKE, Martinsburg, WV, 25404",$,25404
7006,Subway (1619 W King St),"1619 W King St, Martinsburg, WV, 25401",$,25401
7007,Taco Bell (1359 Edwin Miller Blvd),"1359 Edwin Miller Blvd, Martinsburg, WV, 25404",$,25404
7008,Subway (3058 Charles Town Rd),"3058 Charles Town Rd, Kearneysville, WV, 25430",$,25430
7009,Walgreens (205 MARSHALL STREET),"205 MARSHALL STREET, BENWOOD, WV, 26031",$,26031
7010,Sub Stop,"225 Marshall St, Mcmechen, WV, 26040",$$,26040
7011,Embers Lounge,"2110 Marshall St, McMechen, WV, 26040",$$,26040
7012,Wendy's  (2nd &amp; Marshall St),"2nd &amp; Marshall St, Benwood, WV, 26031",$,26031
7013,Subway (10410 Maccorkle Ave),"10410 Maccorkle Ave, Marmet, WV, 25315",$,25315
7014,Applebee's (Kanawha Mall),"202 Kanawha Mall, Charleston, WV, 25304",$$,25304
7015,Walgreens (2100 E DUPONT AVE),"2100 E DUPONT AVE, BELLE, WV, 25015",$,25015
7016,Tudor's Biscuit World,"10501 Mc Corkle Avenue, Marmet, WV, 25315",$$,25315
7017,Fujiyama,"5780 Maccorkle Ave SE, Charleston, WV, 25304",$$,25304
7018,Bellissimo pizza,"3433 W Dupont Ave, Belle, WV, 25015",$$,25015
7019,Dairy Winkle,"162 Campbells Creek Dr, Charleston, WV, 25306",$$,25306
7020,Arby's (2700 East Dupont Ave.),"2700 East Dupont Ave., Belle, WV, 25015",$,25015
7021,Cosmic Wings - Kanawha Mall,"202 Kanawha Mall, Charleston, WV, 25304",$,25304
7022,Hardees (1502538),"1506 Bigley Ave, Charleston, WV, 25302",$,25302
7023,Sam's Hotdog's,"10406 Maccorkle Ave, Charleston, WV, 25315",$$,25315
7024,Hardee's (1502508),"10401 Maccorkle Ave, Charleston, WV, 25315",$,25315
7025,"Captain D's (5631 MacCorkle Avenue, S.E.)","5631 MacCorkle Avenue, S.E., Kanawha City, WV, 25304",$,25304
7026,Bob Evans 54 (101 Alex Lane),"101 Alex Lane, Kanawha City, WV, 25304",$$,25304
7027,Wendy's  (9015 Mac Corkle Ave),"9015 Mac Corkle Ave, Marmet, WV, 25315",$,25315
7028,McDonald's (2700 E Dupont Ave),"2700 E Dupont Ave, Belle, WV, 25015",$,25015
7029,"KFC (3415 Staunton Avenue, S.E.)","3415 Staunton Avenue S.E., Charleston, WV, 25304",$,25304
7030,Taco Bell (5709 MacCorkle Ave SE),"5709 MacCorkle Ave SE, Charleston, WV, 25304",$,25304
7031,7-Eleven (3815 MacCorkle Ave.),"3815 MacCorkle Ave., Charleston, WV, 25304",$,25304
7032,Burger King (111 Nick Savas Dr),"111 Nick Savas Dr, Logan, WV, 25601",$,25601
7033,The Saucy Hen (151 COLEMAN DRIVE),"151 Coleman Drive, Lewisburg, WV, 24901",$$,24901
7034,"Dickey's Barbecue Pit ( 2134 5th Street, Huntington, West Virginia)","2134 5th Street Road, Huntington, WV, 25701",,25701
7035,Subway (348 County Road 410 Unit 2),"348 Co Rd 410, South Point, USA, Fayette, OH, 45680",$,45680
7036,Arby's (2125 5th Ave.),"2125 5th Ave., Huntington, WV, 25703",$,25703
7037,Sunset Grill,"910 4th Ave, Huntington, WV, 25701",,25701
7038,El Ranchito (Hal Greer Boulevard),"1325 Hal Greer Boulevard, Huntington, WV, 25701",,25701
7039,The Woods Bar,"1212 4th Ave, Huntington, WV, 25701",,25701
7040,New China Garden Buffet,"804 6th Ave, Huntington, WV, 25701",$$,25701
7041,Papa Johns (1525 9Th Ave),"1525 9Th Ave, Huntington, WV, 25701",$$,25701
7042,Firehouse Subs (1548 3rd Ave.),"1548 3rd Ave., Huntington, WV, 25701",$,25701
7043,Cold Stone Creamery (10 Pullman Square),"10 Pullman Square, Huntington, WV, 25701",$,25701
7044,Taco Bell (3335 US Route 60),"3335 Route 60, Huntington, WV, 25705",$,25705
7045,Captain D's (2123 5th Avenue),"2123 5th Avenue, Huntington, WV, 25703",$,25703
7046,Hibachi Japanese Steakhouse,"839 4th Ave, Huntington, WV, 25701",,25701
7047,Giovannis of Huntington,"2002 3rd Ave, Huntington, WV, 25703",$$$,25703
7048,The Bodega,"335 9th St, Huntington, WV, 25701",$,25701
7049,Arby's (4905 Us Route 60 E),"4905 Route 60 E, Huntington, WV, 25705",$,25705
7050,Chipotle Mexican Grill (2151 5th Ave),"2151 5Th Ave, Huntington, WV, 25703",$,25703
7051,Butter It Up,"809 3rd Ave. Unit 7, Huntington, WV, 25701",$$,25701
7052,Río Grande,"914 4th Ave, Huntington, WV, 25701",,25701
7053,Tudor's Biscuit World,"4530 5th Street Rd, Lavalette, WV, 25535",$$,25535
7054,Sams Hotdogs Lavalette,"4621 WV-152 #1, Lavalette, WV, 25535",$$,25535
7055,21 at the Frederick,"940 4th Ave, Huntington, WV, 25701",$$,25701
7056,Hardee's (1701 Washington Ave),"1701 Washington Ave, Huntington, WV, 25704",$,25704
7057,Burger King (51 Washington Avenue),"51 Washington Avenue, Huntington, WV, 25701",$,25701
7058,Jolly Pirate Donuts,"4526 Route 60, Huntington, WV, 25705",$$,25705
7059,Davis’ Place,"803 8th St, Huntington, WV, 25701",$$,25701
7060,Gino's Pizza &amp; Spaghetti House,"146 Norway Ave, Huntington, WV, 25705",$$,25705
7061,Rocky Top Pizza,"101 Buffalo Creek Road, Kenova, WV, 25530",$$,25530
7062,Gino's Pizza and Spaghetti House,"4675 West Virginia 152, Lavalette, WV, 25535",$$,25535
7063,YUMMY EXPRESS,"348 Co Rd 410 # 1, South Point, OH, 45680",$$,45680
7064,Dunkin (1909 5th Ave),"1909 5th Ave, Huntington, WV, 25703",$,25703
7065,WV Pizza Company,"West Virginia 152, Lavalette, WV, 25535",$$,25535
7066,Midway West Drive-In,"445 6th Avenue West, Huntington, WV, 25701",$$,25701
7067,Penn Station (5110 US Rt. 60 E),"5110 Rt. 60 E, Huntington, WV, 25705",$,25705
7068,Cosmic Wings (Huntington),"1135 Third Avenue, Huntington, WV, 25701",$,25701
7069,Marco's Pizza (110 5th Ave.),"110 5th Ave., Huntington, WV, 25701",$,25701
7070,Wingville (1310 3rd Avenue),"1310 3rd Ave, Huntington, WV, 25701",$,25701
7071,Cam's Hams,"809 1st St, Huntington, WV, 25701",$$,25701
7072,Wendy's  (3080 16Th Street Road),"3080 16Th Street Road, Huntington, WV, 25701",$,25701
7073,Red Lobster (200 10th Street),"200 10th Street, Huntington, WV, 25701",$$,25701
7074,"Captain D's (1360 Washington Avenue, West)","1360 Washington Avenue, West, Huntington, WV, 25704",$,25704
7075,Grumpy Gary's Grill,"1206 4th Ave, Huntington, WV, 25701",$,25701
7076,KFC (315 Washington Ave.),"315 Washington Ave, Huntington, WV, 25701",$,25701
7077,Rally's (604 5th Avenue),"604 5th Avenue, Huntington, WV, 25702",$$,25702
7078,McDonald's (4543 5Th St Rd),"4543 5Th St Rd, Huntington, WV, 25701",$,25701
7079,Fazoli's (1310 3rd Ave),"1310 3rd Ave, Huntington, WV, 25701",$,25701
7080,Baskin-Robbins (1598 Washington Blvd),"1598 Washington Blvd, Huntington, WV, 25701",$,25701
7081,"Pizza Hut (1 Ceredo Plaza, Unit 5)","1, Ceredo, WV, 25507",$,25507
7082,Applebee's (Huntington),"1135 Third Avenue, Huntington, WV, 25701",$$,25701
7083,Taco Bell (100 Kinetic Drive),"100 Kinetic Drive, Huntington, WV, 25701",$,25701
7084,Sheetz - 740 Sixth Ave (625),"740 Sixth Ave, Huntington, WV, 25701",$,25701
7085,Taco Bell (1111 Rt 75),"1111 Rt 75, Kenova, WV, 25530",$,25530
7086,Marco's Pizza (5222 US Rt. 60 E),"5222 Rt. 60 E, Huntington, WV, 25705",$,25705
7087,McDonald's (3333 Rt 60 East),"3333 Rt 60 East, Huntington, WV, 25705",$,25705
7088,Subway (4388 5Th Street Rd Ste 8),"4388 5th Street Rd, Huntington, WV, 25701",$,25701
7089,Catfish Kitchen (2123 5th Avenue),"2123 5th Avenue, Huntington, WV, 25703",$,25703
7090,Fazoli's (5120 U.S. 60 East),"5120 U.S. 60 East, Huntington, WV, 25705",$,25705
7091,7-Eleven (2 S Mineral St),"2 S Mineral St, Keyser, WV, 26726",$,26726
7092,Royal Restaurant,"88 North Main Street, Keyser, WV, 26726",$$,26726
7093,Walgreens (839 S MINERAL ST),"839 S MINERAL ST, KEYSER, WV, 26726",$,26726
7094,CVS (45 SOUTH MINERAL STREET),"45 SOUTH MINERAL STREET, KEYSER, WV, 25428",$,25428
7095,Martie's Hot Dog Stand,"96 N Main St, Keyser, WV, 26726",$$,26726
7096,Fox's Pizza Den(567 S Mineral St),"567 S Mineral St, Keyser, WV, 26726",$$,26726
7097,El Jinete,"2505 New Creek Highway, Keyser, WV, 26726",$$,26726
7098,Sheetz - 432 18Th St W (427),"432 18Th St W, Huntington, WV, 25704",$,25704
7099,Subway (420 4Th St West),"420 W 4th St, Ceredo, WV, 25507",$,25507
7100,Tres Hermanos Nunez,"294 County Road 120, South Point, OH, 45680",$$,45680
7101,CVS (1405 OAK ST),"1405 OAK ST, KENOVA, WV, 25428",$,25428
7102,Rocco's Ristorante,"252 Main St, Ceredo, WV, 25507",$$,25507
7103,The Pizza Shoppe,"210 Solida Rd, South Point, OH, 45680",$$,45680
7104,Giovanni's Pizza,"304 4th Street West, South Point, OH, 45680",$$,45680
7105,Austin's Homemade Ice Cream,"1103 C Street, Kenova, WV, 25530",$$,25530
7106,Snak Shak,"305 Solida Road, South Point, OH, 45680",$$,45680
7107,Sam's Hot Dog Stand,"4450 Piedmont Rd, Huntington, WV, 25704",$$,25704
7108,Casa Grande,"47 Township Road 1429 W, South Point, OH, 45680",$$,45680
7109,Rocky Tops Pizza,"800 Oak Street, Kenova, WV, 25530",$$,25530
7110,Holy Smoke BBQ,"420 West 4th Street, Ceredo, WV, 25507",$$,25507
7111,Gino's Pizza Of Kenova,"1121 Oak Street, Kenova, WV, 25530",$$,25530
7112,Stewarts Original Hot Dogs,"1025 Oak Street, Kenova, WV, 25530",$$,25530
7113,Evaroni's Pizza,"914 Oak Street, Kenova, WV, 25530",$$,25530
7114,Bellacino's Pizza &amp; Grinders (South Point),"214 Collins Avenue, South Point, OH, 45680",$$,45680
7115,Tres Hermanos Nunez,"804 Oak Street, Kenova, WV, 25530",$$,25530
7116,McDonald's (602 Oak St),"602 Oak St, Kenova, WV, 25530",$,25530
7117,Wendy's  (1850 Adams Avenue),"1850 Adams Avenue, Huntington, WV, 25704",$,25704
7118,Bob Evans 2054 (103 County Road 406),"103 County Road 406, South Point, OH, 45680",$$,45680
7119,KFC (413 County Road 406),"413 County Road 406, South Point, OH, 45680",$,45680
7120,Wendy's  (201 Marion Pike),"201 Marion Pike, Coal Grove, OH, 45638",$,45638
7121,Taco Bell (325 County Road 406),"325 County Road 406, South Point, OH, 45680",$,45680
7122,Taco Bell (4812 Gerrardstown Rd),"4812 Gerrardstown Rd, Inwood, WV, 25428",$,25428
7123,Dunkin' (980 Foxcroft Ave),"980 Foxcroft Ave, Martinsburg, WV, 25401",$,25401
7124,Walgreens (7916 WINCHESTER AVENUE),"7916 WINCHE, INWOOD, WV, 25428",$,25428
7125,Viva Mexico Family Restaurant,"24 Annex Dr, Inwood, WV, 25428",$$,25428
7126,Four Corners Club,"72 Pedal Car Dr, Inwood, WV, 25428",$$,25428
7127,Pizza Oven,"4803 Gerrardstown Rd, Inwood, WV, 25428",$$,25428
7128,CVS (46 MIDDLEWAY PIKE),"46 MIDDLEWAY PIKE, INWOOD, WV, 25428",$,25428
7129,Cider Press Deli &amp; Grill,"178 Pilgrim St, Inwood, WV, 25428",$$,25428
7130,Angel's Bar &amp; Grill,"7113 Winchester Avenue, Inwood, WV, 25428",$$,25428
7131,McDonald's (4739 Gerrardstown Rd),"4739 Gerrardstown Rd, Inwood, WV, 25428",$,25428
7132,CVS (JEFFERSON CROSSING),"JEFFERSON CROSSING, CHARLESTOWN, WV, 25428",$,25428
7133,Sheetz - 3805 Teays Valley Road (467),"3805 Teays Valley Road, Hurricane, WV, 25526",$,25526
7134,Husssons Pizza,"4040, Teays Valley, WV, 25560",$$,25560
7135,Husson's Pizza,"5011, Teays Valley, WV, 25560",$$,25560
7136,Walgreens (215 STATE ROUTE 34),"215 State Route 34, Hurricane, WV, 25526",$,25526
7137,"CVS (3764 TEAYS VALLEY ROAD, CORNER OF HOSPITAL DRIVE)","3764 TEAYS VALLEY ROAD CORNER OF HOSPITAL DRIVE, HURRICANE, WV, 25428",$,25428
7138,El Rancho Grande,"301 Great Teays Blvd, Scott Depot, WV, 25560",$$,25560
7139,Gino's Pizza &amp; Spaghetti House,"112 Great Teays Boulevard, Teays Valley, WV, 25560",$$,25560
7140,Mountain Pie Company,"3522 Teays Valley Road, Hurricane, WV, 25526",$$,25526
7141,Bridge Cafe and Bistro,"44 Midland Trail, Hurricane, WV, 25526",$$,25526
7142,Fairways Bar &amp; Grill,"3706 Teays Valley Road, Hurricane, WV, 25526",$$,25526
7143,Hiro Japanese Express,"3522 Teays Valley Road, Hurricane, WV, 25526",$$,25526
7144,L&amp;R BBQ,"3380 Teays Valley Road, Hurricane, WV, 25526",$$,25526
7145,Wendy's  (30 Pointe Place),"30 Pointe Place, Hurricane, WV, 25526",$,25526
7146,Sheetz -104 St. Rt. 19 (433),"104 St. Rt. 19, Hurricane, WV, 25526",$,25526
7147,El Ranchito (3rd Avenue),"2010 3rd Avenue, Huntington, WV, 25703",$$,25703
7148,Subway (2055 5Th Ave),"2055 5Th Ave, Huntington, WV, 25703",$,25703
7149,Bombshells Burgers &amp; BBQ,"2134 5th Street Rd, Huntington, WV, 25701",$,25701
7150,CVS (219 THIRD AVENUE),"219 THIRD AVENUE, CHESAPEAKE, OH, 23112",$,23112
7151,Navarino Bay,"3rd Ave, Huntington, WV, 25703",$$,25703
7152,Subway (733 9th Ave),"733 9Th Ave, Huntington, WV, 25701",$,25701
7153,No 1 Kitchen,"4341 Route 60, Huntington, WV, 25705",$$,25705
7154,Taco Bell (2515 5th Ave),"2515 5th Ave, Huntington, WV, 25703",$,25703
7155,East Flavor Restaurant,"322 10th Street, Huntington, WV, 25701",$$,25701
7156,Dairy Bell,"595 3rd Ave, Chesapeake, OH, 45619",$$,45619
7157,Kustom Kreams rolled ice cream,"1456 4th Avenue, Huntington, WV, 25701",$$,25701
7158,Walgreens (111 4th Ave),"111 4th Ave, Huntington, WV, 25701",$,25701
7159,Pho U &amp; Mi (1451 3rd Ave),"1451 3rd Ave, Huntington, WV, 25701",$$,25701
7160,Taste of Asia,"821 3rd Ave, Huntington, WV, 25701",$$,25701
7161,Nawab Indian Cuisine,"600 4th Ave, Huntington, WV, 25701",$$,25701
7162,PAX Cafe,"210 11th Street, Huntington, WV, 25701",$$,25701
7163,Sam's Hot Dog Stand,"2885 5th Ave, Huntington, WV, 25702",$$,25702
7164,Moonlight Cookies,"701 14th St W, Huntington, WV, 25704",$$,25704
7165,Monty's Pizza,"110 Rockwood Ave, Chesapeake, OH, 45619",$$,45619
7166,Monty's Original Pizza,"815 6th Ave, Huntington, WV, 25701",$$,25701
7167,Rapid Fired Pizza,"900 3rd Avenue, Huntington, WV, 25701",$$,25701
7168,Stewart's Drive-In,"2445 5th Avenue, Huntington, WV, 25703",$$,25703
7169,WING PLACE,"809 3RD AVE, HUNTINGTON, WV, 25701",$$,25701
7170,G.D. Ritzy's,"1335 Hal Greer Blvd, Huntington, WV, 25701",$$,25701
7171,The Peddler,"835 3rd Ave, Huntington, WV, 25701",$$,25701
7172,Truckin' Cheesy,"1501 3rd Avenue, Huntington, WV, 25701",$$,25701
7173,The Cellar Door,"905 3rd Ave, Huntington, WV, 25701",$$,25701
7174,Rooster's Wings (Huntington),"26 Pullman Sq, Huntington, WV, 25701",$$,25701
7175,Calamity Cafe,"1555 3rd Ave, Huntington, WV, 25701",$$,25701
7176,Buddy's All American Bar-B-Que,"1537 3rd Ave, Huntington, WV, 25701",$$,25701
7177,McDonald's® (116 FIFTH AVENUE),"116 FIFTH AVENUE, HUNTINGTON, WV, 25701",$,25701
7178,Wendy's  (2130 E. Fifth Ave.),"2130 E. Fifth Ave., Huntington, WV, 25703",$,25703
7179,Bob Evans 46 (606 Third Avenue),"606 Third Avenue, Huntington, WV, 25701",$$,25701
7180,CVS (447 WEST WASHINGTON AVENUE),"447 WEST WASHINGTON AVENUE, HUNTINGTON, WV, 11743",$,11743
7181,Walgreens (670 4th St),"111 4Th Ave, Huntington, WV, 25701",$,25701
7182,CVS (505 20TH STREET),"505 20th Street, Huntington, WV, 25703",$,25703
7183,River City Grill &amp; Pub,"401 Summers St, Hinton, WV, 25951",$$,25951
7184,Sheetz - 5715 Hammonds Mill Rd (425),"5715 Hammonds Mill Rd, Martinsburg, WV, 25404",$,25404
7185,Popeye's (5608 Hammonds Mill Road),"5608 Hammonds Mill Road, Martinsburg, WV, 25404",$,25404
7186,Taco Bell (5610 Hammonds Mill Road),"5610 Hammonds Mill Rd, Martinsburg, WV, 25404",$,25404
7187,Long John Silver's (2035 Edwin Miller Blvd.),"2035 Edwin Miller Blvd., Martinsburg, WV, 25404",$,25404
7188,Momma's Country Kitchen,"3790, Hedgesville, WV, 25427",$$,25427
7189,McDonald's (5640 Hammonds Mill Road),"5640 Hammonds Mill Road, Martinsburg, WV, 25404",$,25404
7190,Philly Cheese Steak Plus,"4150, Hedgesville, WV, 25427",$$,25427
7191,Dunkin' (39 Severna Parkway),"39 Severna Parkway, Martinsburg, WV, 25403",$,25403
7192,Jersey Mike's Subs (5462 Williamsport Pike Suite A),"5462 Williamsport Pike, Martinsburg, WV, 25404",$,25404
7193,Baskin-Robbins (42 Vantage View Dr),"42 Vantage View Dr, Falling Waters, WV, 25419",$,25419
7194,Wendy's  (5332 Hammonds Mill Road),"5332 Hammonds Mill Road, Martinsburg, WV, 25419",$,25419
7195,7-Eleven (4716 Hedgesville Rd),"4716, Hedgesville, WV, 25427",$,25427
7196,Sheetz - 1465 Edwin Miller Blvd (220),"1465 Edwin Miller Blvd, Martinsburg, WV, 25404",$,25404
7197,7-Eleven (8949 Williamsport Pike),"8949 Williamsport Pike, Falling Waters, WV, 25419",$,25419
7198,Dunkin' (88 Corporate Blvd W Ste C),"88 Corporate Blvd W Ste C, Falling Waters, WV, 25419",$,25419
7199,Sandwich Shop,"117 E Main St, Harrisville, WV, 26362",$$,26362
7200,Peking Restaurant (920 E Main St),"920 E Main St, Harrisville, WV, 26362",$$,26362
7201,Pizza House,"902 E Main St, Harrisville, WV, 26362",$$,26362
7202,Sheetz -1130 Marlow Road (438),"1130 Marlow Road, Charles Town, WV, 25414",$,25414
7203,Walgreens (8315 COURT AVENUE),"8315 COURT AVENUE, HAMLIN, WV, 25523",$,25523
7204,M &amp; R Restaurant,"7250 Lynn Avenue, Hamlin, WV, 25523",$$,25523
7205,Carnivore Bbq,"8515 Court Avenue, Hamlin, WV, 25523",$$,25523
7206,Sheetz - 1 Chaplin Rd (275),"1 Chaplin Rd, Morgantown, WV, 26543",$,26543
7207,Subway (6051 University Town Centre Dr),"6051 University Town Centre Dr, Granville, WV, 26534",$,26534
7208,Burger King (326 Chaplin Hill Road),"326 Chaplin Hill Road, Morgantown, WV, 26501",$,26501
7209,CVS (3521 MONONGAHELA BOULEVARD),"3521 MONONGAHELA BOULEVARD, STAR CITY, WV, 25428",$,25428
7210,McDonald's® (11 CHAPLIN RD),"11 CHAPLIN RD, Western, WV, 26534",$,26534
7211,Chipotle Mexican Grill (17 Chaplin Rd),"17 Chaplin Rd, Morgantown, WV, 26534",$,26534
7212,Wilma's Diner,"10 East Washington Street, Fort Ashby, WV, 26719",$$,26719
7213,Walgreens (1600 MAIN STREET),"1600 Main Street, Follansbee, WV, 26037",$,26037
7214,Subway (1429 Main St),"1429 Main St, Follansbee, WV, 26037",$,26037
7215,Dicarlos Pizza,"107 May Rd, Follansbee, WV, 26037",$$,26037
7216,New Hong Kong,"864 Main St, Follansbee, WV, 26037",$$,26037
7217,Three Bridges,"750 Main Street, Follansbee, WV, 26037",$$,26037
7218,Defelice Bros Pizza,"801 Main Street, Follansbee, WV, 26037",$$,26037
7219,Sheetz - 27 Whitewater Ave (444),"27 Whitewater Ave, Fayetteville, WV, 25840",$,25840
7220,Subway (35 Davis St),"35 Davis St, Fayetteville, WV, 25840",$,25840
7221,Kobe Asian Fusion,"100 Towncenter Road, Fayetteville, WV, 25840",,25840
7222,Wood Iron Eatery,"129 S Court St unit a, Fayetteville, WV, 25840",$$,25840
7223,O K Chinese Restaurant,"359 Mall Rd, Oak Hill, WV, 25840",$$,25840
7224,Wanderlust Creativefoods,"105 West Maple Avenue, Fayetteville, WV, 25840",$$,25840
7225,Cathedral Cafe &amp; Book Store,"134 South Court Street, Fayetteville, WV, 25840",$$,25840
7226,The Handle Bar + Kitchen,"8263 Gatewood Road, Fayetteville, WV, 25840",$$,25840
7227,Pies and Pints,"103 Keller Avenue, Fayetteville, WV, 25840",$$,25840
7228,Arrowhead Bike Farm,"8263-B Gatewood Rd, Fayetteville, WV, 25840",$$,25840
7229,Rio Grande,"571 Mall Road, Oak Hill, WV, 25901",$$,25901
7230,Smokey's,"1 Ames Heights Road, Lansing, WV, 25862",$$,25862
7231,Firecreek BBQ &amp; Steaks LLC,"310 Keller Ave, Fayetteville, WV, 25840",$$,25840
7232,The Burrito Bar At Breeze Hill,"179 Oscar White Road, Lansing, WV, 25862",$$,25862
7233,Pies &amp; Pints,"219 West Maple Avenue, Fayetteville, WV, 25840",$$,25840
7234,Southside Junction Tap House,"101 S Court St, Fayetteville, WV, 25840",$$,25840
7235,The Grove,"103 Keller Ave, Fayetteville, WV, 25840",$$,25840
7236,KFC (122 Whitewater Avenue),"122 Whitewater Avenue, Fayetteville, WV, 25840",$,25840
7237,Subway (8368 Williamsport Pike),"8368 Williamsport Pike, Falling Waters, WV, 25419",$,25419
7238,Paesano Pizza,"9460 Williamsport Pike, Falling Waters, WV, 25419",$$,25419
7239,King's New York Pizza,"44 Worchester Dr, Falling Waters, WV, 25419",$$,25419
7240,Dunkin' (42 Vantage View Dr),"42 Vantage View Dr, Falling Waters, WV, 25427",$,25427
7241,Burger King (66 Cordial Ct),"66 Cordial Ct, Falling Waters, WV, 25427",$,25427
7242,Subway (5680 Hammonds Mill Rd),"5680 Hammonds Mill Rd, Martinsburg, WV, 25404",$,25404
7243,CVS (300 FAIRMONT AVE),,$,
7244,Subway (719 Fairmont Ave Ste 201),"719, Fairmont, WV, 26554",$,26554
7245,EBO's,"304 Adams Street, Fairmont, WV, 26554",$$,26554
7246,Pufferbelly's Ice Cream Station,"1024, Fairmont, WV, 26554",$$,26554
7247,Noteworthy Sweets,"91, Fairmont, WV, 26554",$$,26554
7248,Hoops Cafe,"505 Locust Ave, Fairmont, WV, 26554",$$,26554
7249,College Lunch,"718 Locust Ave, Fairmont, WV, 26554",$$,26554
7250,The Rambling Root,"101, Fairmont, WV, 26554",$$,26554
7251,KFC (1020 Speedway),"1020 Speedway, Fairmont, WV, 26554",$,26554
7252,McDonald's (1000 Speedway Ave),"1000 Speedway Ave, Fairmont, WV, 26554",$,26554
7253,Applebee's (Elkins),"789 Beverly Pike, Elkins, WV, 26241-9729",$$,26241-9729
7254,Taco Bell (1509 Harrison Ave),"1509 Harrison Ave, Elkins, WV, 26241",$,26241
7255,Sheetz - 1601 Beverly Pike (563),"1601 Beverly Pike, Elkins, WV, 26241",$,26241
7256,Great Harvest Bakery &amp; Cafe,"60 Plantation Way, Elkins, WV, 26241",,26241
7257,Mama Mia Pie and Pasta,"121 3rd Street, Elkins, WV, 26241",$$,26241
7258,Super Buffet,"185 Ferree Rd, Elkins, WV, 26241",$$,26241
7259,Super Buffet,"700 Beverly Pike, Elkins, WV, 26241",$$,26241
7260,Holy Smoke Bbq Elkins,"536 Beverly Pike, Elkins, WV, 26241",$$,26241
7261,Guilty Pleasures Sweet Shop,"105 2nd St, Elkins, WV, 26241",$$,26241
7262,Cosmic Wings - Elkins,"789 Beverly Pike, Elkins, WV, 26241",$,26241
7263,El Gran Sabor,"413 Kerens Ave, Elkins, WV, 26241",$$,26241
7264,Beanders Restaurant &amp; Tavern,"314 Davis Ave, Elkins, WV, 26241",$$,26241
7265,King's Pizza,"989 Harrison Ave, Elkins, WV, 26241",$$,26241
7266,Twisted Bull,"350 Allegheny Hwy, Elkins, WV, 26241",$$,26241
7267,Burger King (729 Beverly Pike),"729 Beverly Pike, Elkins, WV, 26241",$,26241
7268,McDonald's (446 S Randolph Ave),"446 S Randolph Ave, Elkins, WV, 26241",$,26241
7269,Long John Silver's (1513 Harrison Ave),"1513 Harrison Avenue, Elkins, WV, 26241",$,26241
7270,CVS (505 RANDOLPH AVENUE),"505 RANDOLPH AVENUE, ELKINS, WV, 25428",$,25428
7271,Walgreens (615 RANDOLPH AVE),"615 RANDOLPH AVE, ELKINS, WV, 26241",$,26241
7272,Taco Bell (103 Crossings Mall Road),"103 Crossings Mall Road, Elkview, WV, 25071",$,25071
7273,Subway (205 Crossings Mall Rd) DUPE,"205 Crossings Mall Rd, Elkview, WV, 25071",$,25071
7274,La Carreta Mexican Restaurant,"305 Crossings Mall Road, Elkview, WV, 25071",$$,25071
7275,Elkview | Chinese Restaurant,"5112 Elk River Road, Elkview, WV, 25071",$$,25071
7276,Walgreens (8 ELK PLZ),"8 ELK PLZ, ELKVIEW, WV, 25071",$,25071
7277,Penn Station (75 Credes Landing),"75 Credes Landing, Elkview, WV, 25071",$,25071
7278,Burger King (2155 Frame Rd),"2155 Frame Rd, Elkview, WV, 25071",$,25071
7279,Wendy's  (3515 Mac Corkle Ave.S.E.),"3515 Mac Corkle Ave.S.E., Charleston, WV, 25304",$,25304
7280,Hardee's (1503809),"4400 Pennsylvania Ave, Charleston, WV, 25302",$,25302
7281,Dairy Queen Grill &amp; Chill (921 Main St),"921 Main St, Elkview, WV, 25071",$,25071
7282,McDonald's (105 Crossings Mall),"105 Crossings Mall, Elkview, WV, 25071",$,25071
7283,CVS (221 CROSSINGS MALL ROAD),"221 CROSSINGS MALL ROAD, ELKVIEW, WV, 25428",$,25428
7284,Ridge View BBQ,"5010-1 Fairlawn Ave, Institute, WV, 25064",$$,25064
7285,Cafe Crema,"2317 Fairlawn Ave, Dunbar, WV, 25064",$$,25064
7286,McDonald's® (1000 DUNBAR VILLAGE PLAZA),"1000, DUNBAR, WV, 25064",$,25064
7287,Wendy's  (913 Dunbar Ave.),"913, Dunbar, WV, 25064",$,25064
7288,Burger King (2005 Harper Rd.),"2005 Harper Rd., Beckley, WV, 25801",$,25801
7289,Bellacino's Pizza &amp; Grinders (Beaver),"868 Ritter Drive, Beaver, WV, 25813",$$,25813
7290,Mr G's Wings,"5308 Big Tyler Road, Charleston, WV, 25313",$$,25313
7291,Prime Station,"5147 Washington Street West, Cross Lanes, WV, 25313",$$,25313
